pose_label,J1,J2,J3,J4,J5,J6,Speed,Acceleration
front_overhead_n,0,85,-15,-45,40,-45,220,100
front_overhead_p,0,85,-15,45,40,45,220,100
front_near_high_n,0,70,-40,-50,55,-60,220,100
front_near_high_p,0,70,-40,50,55,60,220,100
front_mid_horiz_n,0,35,-85,-45,90,-45,220,100
front_mid_horiz_p,0,35,-85,45,90,45,220,100
front_far_upper_n,0,50,-115,-60,105,-60,220,100
front_far_upper_p,0,50,-115,60,105,60,220,100
front_floor_n,0,10,-130,-30,120,-30,220,100
front_floor_p,0,10,-130,30,120,30,220,100
diag_fl_overhead_n,45,85,-15,-45,40,-45,220,100
diag_fl_overhead_p,45,85,-15,45,40,45,220,100
diag_fl_near_high_n,45,70,-40,-50,55,-60,220,100
diag_fl_near_high_p,45,70,-40,50,55,60,220,100
diag_fl_mid_horiz_n,45,35,-85,-45,90,-45,220,100
diag_fl_mid_horiz_p,45,35,-85,45,90,45,220,100
diag_fl_far_upper_n,45,50,-115,-60,105,-60,220,100
diag_fl_far_upper_p,45,50,-115,60,105,60,220,100
diag_fl_floor_n,45,10,-130,-30,120,-30,220,100
diag_fl_floor_p,45,10,-130,30,120,30,220,100
left_overhead_n,90,85,-15,-45,40,-45,220,100
left_overhead_p,90,85,-15,45,40,45,220,100
left_near_high_n,90,70,-40,-50,55,-60,220,100
left_near_high_p,90,70,-40,50,55,60,220,100
left_mid_horiz_n,90,35,-85,-45,90,-45,220,100
left_mid_horiz_p,90,35,-85,45,90,45,220,100
left_far_upper_n,90,50,-115,-60,105,-60,220,100
left_far_upper_p,90,50,-115,60,105,60,220,100
left_floor_n,90,10,-130,-30,120,-30,220,100
left_floor_p,90,10,-130,30,120,30,220,100
diag_lb_overhead_n,135,85,-15,-45,40,-45,220,100
diag_lb_overhead_p,135,85,-15,45,40,45,220,100
diag_lb_near_high_n,135,70,-40,-50,55,-60,220,100
diag_lb_near_high_p,135,70,-40,50,55,60,220,100
diag_lb_mid_horiz_n,135,35,-85,-45,90,-45,220,100
diag_lb_mid_horiz_p,135,35,-85,45,90,45,220,100
diag_lb_far_upper_n,135,50,-115,-60,105,-60,220,100
diag_lb_far_upper_p,135,50,-115,60,105,60,220,100
diag_lb_floor_n,135,10,-130,-30,120,-30,220,100
diag_lb_floor_p,135,10,-130,30,120,30,220,100
back_overhead_n,180,85,-15,-45,40,-45,220,100
back_overhead_p,180,85,-15,45,40,45,220,100
back_near_high_n,180,70,-40,-50,55,-60,220,100
back_near_high_p,180,70,-40,50,55,60,220,100
back_mid_horiz_n,180,35,-85,-45,90,-45,220,100
back_mid_horiz_p,180,35,-85,45,90,45,220,100
back_far_upper_n,180,50,-115,-60,105,-60,220,100
back_far_upper_p,180,50,-115,60,105,60,220,100
back_floor_n,180,10,-130,-30,120,-30,220,100
back_floor_p,180,10,-130,30,120,30,220,100
diag_br_overhead_n,225,85,-15,-45,40,-45,220,100
diag_br_overhead_p,225,85,-15,45,40,45,220,100
diag_br_near_high_n,225,70,-40,-50,55,-60,220,100
diag_br_near_high_p,225,70,-40,50,55,60,220,100
diag_br_mid_horiz_n,225,35,-85,-45,90,-45,220,100
diag_br_mid_horiz_p,225,35,-85,45,90,45,220,100
diag_br_far_upper_n,225,50,-115,-60,105,-60,220,100
diag_br_far_upper_p,225,50,-115,60,105,60,220,100
diag_br_floor_n,225,10,-130,-30,120,-30,220,100
diag_br_floor_p,225,10,-130,30,120,30,220,100
right_overhead_n,270,85,-15,-45,40,-45,220,100
right_overhead_p,270,85,-15,45,40,45,220,100
right_near_high_n,270,70,-40,-50,55,-60,220,100
right_near_high_p,270,70,-40,50,55,60,220,100
right_mid_horiz_n,270,35,-85,-45,90,-45,220,100
right_mid_horiz_p,270,35,-85,45,90,45,220,100
right_far_upper_n,270,50,-115,-60,105,-60,220,100
right_far_upper_p,270,50,-115,60,105,60,220,100
right_floor_n,270,10,-130,-30,120,-30,220,100
right_floor_p,270,10,-130,30,120,30,220,100
diag_rf_overhead_n,315,85,-15,-45,40,-45,220,100
diag_rf_overhead_p,315,85,-15,45,40,45,220,100
diag_rf_near_high_n,315,70,-40,-50,55,-60,220,100
diag_rf_near_high_p,315,70,-40,50,55,60,220,100
diag_rf_mid_horiz_n,315,35,-85,-45,90,-45,220,100
diag_rf_mid_horiz_p,315,35,-85,45,90,45,220,100
diag_rf_far_upper_n,315,50,-115,-60,105,-60,220,100
diag_rf_far_upper_p,315,50,-115,60,105,60,220,100
diag_rf_floor_n,315,10,-130,-30,120,-30,220,100
diag_rf_floor_p,315,10,-130,30,120,30,220,100
