Order,X,Y,Z,Rx,Ry,Rz,Speed,Acceleration
1,7.269,-256.936,1329.96,0.782,-0.011,179.943,50.0,80.0
2,14.305,-252.684,1342.151,0.613,0.052,-177.732,50.0,80.0
3,20.973,-248.577,1352.017,0.53,0.083,-175.584,50.0,80.0
4,27.091,-245.157,1358.173,0.607,0.042,-173.766,50.0,80.0
5,32.458,-243.012,1359.796,0.879,-0.087,-172.403,50.0,80.0
6,36.986,-242.339,1356.633,1.356,-0.308,-171.561,50.0,80.0
7,40.568,-243.161,1348.966,2.007,-0.594,-171.26,50.0,80.0
8,43.123,-245.091,1337.663,2.766,-0.906,-171.462,50.0,80.0
9,44.507,-247.732,1324.165,3.539,-1.194,-172.084,50.0,80.0
10,44.572,-250.592,1310.438,4.213,-1.417,-173.015,50.0,80.0
11,43.187,-253.273,1298.7,4.678,-1.548,-174.128,50.0,80.0
12,40.236,-255.603,1291.021,4.836,-1.569,-175.302,50.0,80.0
13,35.75,-257.346,1288.859,4.636,-1.477,-176.444,50.0,80.0
14,29.862,-258.436,1292.706,4.065,-1.268,-177.491,50.0,80.0
15,22.876,-258.708,1301.971,3.17,-0.946,-178.426,50.0,80.0
16,15.19,-258.195,1315.098,2.034,-0.518,-179.265,50.0,80.0
17,7.269,-256.936,1329.96,0.782,-0.011,179.943,50.0,80.0
18,-0.48,-255.256,1344.306,-0.456,0.528,179.14,50.0,80.0
19,-7.755,-253.64,1356.172,-1.557,1.039,178.272,50.0,80.0
20,-14.337,-252.525,1364.132,-2.413,1.454,177.302,50.0,80.0
21,-20.114,-252.38,1367.344,-2.96,1.719,176.226,50.0,80.0
22,-24.933,-253.319,1365.547,-3.163,1.804,175.073,50.0,80.0
23,-28.64,-255.296,1358.994,-3.034,1.715,173.906,50.0,80.0
24,-30.974,-257.901,1348.498,-2.611,1.485,172.815,50.0,80.0
25,-31.774,-260.742,1335.44,-1.976,1.171,171.913,50.0,80.0
26,-30.912,-263.335,1321.714,-1.226,0.83,171.317,50.0,80.0
27,-28.422,-265.297,1309.497,-0.47,0.51,171.133,50.0,80.0
28,-24.517,-266.448,1300.837,0.19,0.248,171.444,50.0,80.0
29,-19.425,-266.592,1297.238,0.681,0.057,172.289,50.0,80.0
30,-13.46,-265.713,1299.269,0.96,-0.054,173.653,50.0,80.0
31,-6.847,-263.724,1306.444,1.038,-0.093,175.47,50.0,80.0
32,0.128,-260.753,1317.342,0.953,-0.071,177.618,50.0,80.0
33,7.269,-256.936,1329.96,0.782,-0.011,179.943,50.0,80.0
